"","nome","pais","corrida","ano","horario","tempo","percurso","largada","chegada","data","pace","sexo"
"36","Osvaldo Suarez","Argentina",36,1960,"1960-12-31 23:45:00",22.0333333333333,7400,"Av. Cásper Líbero","Edifício Palácio da Imprensa – Rua da Conceição",1960-12-31 12:00:00,2.97747747747748,"masculino"
"37","Martin Hyman","Inglaterra",37,1961,"1961-12-31 23:45:00",21.4,7400,"Av. Cásper Líbero","Edifício Palácio da Imprensa – Rua da Conceição",1961-12-31 12:00:00,2.89189189189189,"masculino"
"38","Hamoud Ameur","França",38,1962,"1962-12-31 23:45:00",22.1333333333333,7400,"Av. Cásper Líbero.","Edifício Palácio da Imprensa – Rua da Conceição",1962-12-31 12:00:00,2.99099099099099,"masculino"
"39","Henry Clerckx","Bélgica",39,1963,"1963-12-31 23:45:00",21.9166666666667,7400,"Av. Cásper Líbero.","Edifício Palácio da Imprensa – Rua da Conceição",1963-12-31 12:00:00,2.96171171171171,"masculino"
"40","Gaston Roelants","Bélgica",40,1964,"1964-12-31 23:45:00",21.6166666666667,7400,"Av. Cásper Líbero.","Edifício Palácio da Imprensa – Rua da Conceição",1964-12-31 12:00:00,2.92117117117117,"masculino"
"41","Gaston Roelants","Bélgica",41,1965,"1965-12-31 23:45:00",21.3333333333333,7400,"Av. Cásper Líbero","Edifício Palácio da Imprensa – Rua da Conceição",1965-12-31 12:00:00,2.88288288288288,"masculino"
"42","Alvaro Mejia Flores","Colômbia",42,1966,"1966-12-31 23:32:00",29.95,9200,"Av. Paulista 900, em frente ao Edifício","Av. Paulista 900, na frente do Edifício",1966-12-31 12:00:00,3.2554347826087,"masculino"
"43","Gaston Roelants","Bélgica",43,1967,"1967-12-31 23:45:00",24.5166666666667,8700,"Av. Paulista 900 – Edifício Cásper Líbero – Descida pela Brig. L. Antônio","Av. Paulista 900 – Edifício Cásper Líbero – Subida pela Rua da Consolação",1967-12-31 12:00:00,2.81800766283525,"masculino"
"44","Gaston Roelants","Bélgica",44,1968,"1968-12-31 23:50:00",24.5333333333333,8700,"Av. Paulista 900, em frente ao","Av. Paulista 900, na frente do",1968-12-31 12:00:00,2.81992337164751,"masculino"
"45","Juan Martinez","México",45,1969,"1969-12-31 23:45:00",24.0333333333333,8700,"Av. Paulista 900 – Edifício Cásper Líbero – Descida pela Brig. L. Antônio","Av. Paulista 900 – Edifício Cásper Líbero – Subida pela Rua da Consolação",1969-12-31 12:00:00,2.76245210727969,"masculino"
"46","Frank Shorter","Estados Unidos",46,1970,"1970-12-31 23:45:00",24.45,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1970-12-31 12:00:00,2.74719101123596,"masculino"
"47","Rafael Tadeo Palomares","México",47,1971,"1971-12-31 23:38:00",23.7833333333333,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1971-12-31 12:00:00,2.67228464419476,"masculino"
