nome,pais,corrida,ano,horario,tempo,percurso,largada,chegada
Rosa Mota,Portugal,61,1985,23:05:00,00:43:00.000,12640,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Carlos Lopes,Portugal,60,1984,23:05:00,00:36:43.000,12640,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Rosa Mota,Portugal,60,1984,23:05:00,00:43:35.000,12640,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
João da Mata,Brasil,59,1983,23:05:00,00:37:39.000,12600,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Rosa Mota,Portugal,59,1983,23:05:00,00:43:44.000,12600,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Carlos Lopes,Portugal,58,1982,23:05:00,00:39:41.000,13548,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Rosa Mota,Portugal,58,1982,23:05:00,00:47:21.000,13548,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Victor Mora,Colômbia,57,1981,23:38:00,00:23:30.000,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Rosa Mota,Portugal,57,1981,23:38:00,00:26:45.000,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
José João da Silva,Brasil,56,1980,23:38:00,00:23:40.000,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Heide Hutterer,Alemanha,56,1980,23:38:00,00:27:48.000,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Herb Lindasy,Estados Unidos,55,1979,23:38:00,00:23:26.000,9000,Av. Paulista 900 – Edifício Cásper Líbero – Descida pela Brig. L. Antônio.,Estádio Paulo Machado de Carvalho – Pacaembu.
Dana Slater,Estados Unidos,55,1979,23:38:00,00:29:07.000,9000,Av. Paulista 900 – Edifício Cásper Líbero – Descida pela Brig. L. Antônio.,Estádio Paulo Machado de Carvalho – Pacaembu.
